	videoId	narrative	super_narrative
51	PTqLqSnMpBI	Great replacement	Immigration is part of a conspiracy
52	xf9AlGrc2rc	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
53	FNag3TCl7Oo	Immigration is a threat to individual safety	Immigration is a threat
54	2NRm_v7Jo58	There are too many immigrants coming	Immigration is out of control
55	VSWYAUehXEU	Immigrants suffer from labour exploitation	Immigrants are victims
56	8p4xaGzJg_g	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
57	hM59VIZDHwY	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
58	QzvxykFufcg	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
59	pxQFuJZkSLM	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
60	_wTajX8KHKs	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
61	ImxOWnyJb08	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
62	sP4r1uAoEyo	Great replacement	Immigration is part of a conspiracy
63	oXzttLotlVI	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
64	66MnHtYjlEU	There are too many immigrants coming	Immigration is out of control
65	wVvOMDqXQjY	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
66	qtuVy03lJkc	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
67	HppCkqNVCvc	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
68	F-RkoemP5MU	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
69	seHEnnSS48c	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
70	i2YOYupobhc	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
71	sTsP_r5EUNY	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
72	QubVUA9hMVU	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
73	7kAF9-Y1ZMk	Immigrants are victims of human traffickers.	Immigrants are victims
74	NoseJP41QCk	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
75	4y--K9r4yu4	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
76	RFpXgWRSC20	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
77	-CDffv7Gus8	Immigrants suffer from labour exploitation	Immigrants are victims
78	Lsc_aArpFQg	Our borders are strained and/or insufficiently controlled	Immigration is out of control
79	0XqdfbHP83A	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
80	YsaHlkCcW6k	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
81	cyGZiI0macs	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
82	QvFIubrkAuE	Promoting policy initiatives or ideas	We are competent
83	KsVFlGLRKSw	None	None
84	goN_V6Gkp8c	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
85	uv5Kc5lAqZE	There are too many immigrants coming	Immigration is out of control
86	XFXQ3zZ6fVc	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
87	JPArh6s5WjI	Natives first	Immigration burdens the economy & welfare narrative
88	cj7Jh1KSMTY	Our borders are strained and/or insufficiently controlled	Immigration is out of control
89	FXm9EFwG-bM	We are being silenced	There is an unfair bias against our political camp
90	9EzFQ1R_jSI	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
91	rxXhbQtDMg4	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
92	Xkcu3xcKl1s	Promoting policy initiatives or ideas	We are competent
93	sxzOuk-E7-8	Promoting policy initiatives or ideas	We are competent
94	Zgamhae-4zY	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
95	3b8ghXc3jTU	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
96	4yT7RJDdIok	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
97	IBte4sPgEp4	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
98	cf3xc5TrHDo	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
99	GsSxeaJSTYs	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
100	uDbfZfymOYQ	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
101	OuzTv4ah1g8	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
102	QJC5XgQsyKo	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
103	VbDJszljNek	There are too many immigrants coming	Immigration is out of control
104	47uiLRCqoCg	Immigrants suffer from labour exploitation	Immigrants are victims
105	8BslPSecXy8	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
106	XmV6diEKAbE	Mainstream media are biased	There is an unfair bias against our political camp
107	6ijFHNGXk4w	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
108	rlLcT8dxHuA	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
109	6BIkEhExTc0	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
110	OlGFxS_Ay-o	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
111	r9xwNFmtPJY	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
112	VXOA8veaWYc	There are too many immigrants coming	Immigration is out of control
113	sj2E_zYN190	Immigration reduces the attractiveness of location and lowers overall life quality	Immigration burdens the economy & welfare narrative
114	HB3gL7t5tws	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
115	PyxlEpFi10w	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
116	-tair7dDnLs	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
117	bf8PozO_87s	None	None
118	lM1Hf5AiCTY	None	None
119	bcpu8uSnMMU	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
120	8P67omRsWV8	Great replacement	Immigration is part of a conspiracy
121	poT1_-GI7l0	Promoting policy initiatives or ideas	We are competent
122	tEKKXnblqLY	Promoting policy initiatives or ideas	We are competent
123	S76yZM_vnvE	Immigrants are victims of human traffickers.	Immigrants are victims
124	TZfbHwKO6fk	Promoting policy initiatives or ideas	We are competent
125	tyHLYC94ztY	None	None
126	4K-u8pN_UVo	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
127	i7jB52tNwF0	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
128	oc__7GaSRXc	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
129	4-R4uKXMEiI	Immigrants suffer from labour exploitation	Immigrants are victims
130	9Ur9QIu7QTU	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
131	lTkx2yX8nhs	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
132	BvmO_9cMl9w	Promoting policy initiatives or ideas	We are competent
133	I_X7bbp2Nr4	Immigrants are victims of false hope	Immigrants are victims
134	E9qVfJ_uNeM	Our borders are strained and/or insufficiently controlled	Immigration is out of control
135	OJ-jQ2gax3U	EU is harmful for our nation	It is Us vs. Them (the establishment)
136	y3UAJ6NR5zQ	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
137	XYPLn5nnC2c	None	None
138	Ma-RFq6IU04	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
139	6Qcg7Aeiinw	Mainstream media are biased	There is an unfair bias against our political camp
140	047VLSYlmiM	Immigrants suffer from labour exploitation	Immigrants are victims
141	eze0H8ABQgo	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
142	9gVaHg7bMUQ	We are being silenced	There is an unfair bias against our political camp
143	nBrv1-W8xMA	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
144	cxH259bqqVU	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
145	M0z7qJEXTUs	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
146	BPOd7ScXO6g	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
147	5PH32_X9Byc	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
148	jJ35o_wkjiU	Many immigrants are terrorists	Immigration is a threat
149	W3VLk6sqz_0	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
150	ZoRxP7bzwCI	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
151	jVzY4-7XKMA	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
152	Xy4rHAY0oI0	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
153	0l7aAMZh9bs	We will reinstate order	We are competent
154	jlTxV0W0UVw	Promoting policy initiatives or ideas	We are competent
155	2NfDVsk9YVE	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
156	iqQx3wYR7gg	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
157	MoDoJLFBgEA	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
158	ATouLKHNcE8	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
159	sPXPG4u4gwo	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
160	vCB_7GN76zY	None	None
161	hDJYvJ4HMj8	There are too many immigrants coming	Immigration is out of control
162	MCJSgsJ3ef0	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
163	755wamt5rVw	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
164	XUXeNsqorMw	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
165	V4wHSWUyCf4	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
166	cc_9mAfu8yg	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
167	v-hRFtwcjLM	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
168	Z4tKrzCJhPE	Immigration is a threat to national security	Immigration is a threat
169	6dSnj3njQ2k	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
170	wVdo3Mzz0y0	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
171	blOdp0UmRNw	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
172	FBRYf-zhbHw	Anti-Elitism	It is Us vs. Them (the establishment)
173	xibQmIxctf8	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
174	hhWJSsVzre4	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
175	I_Bhw5D_Lwk	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
176	fGAEHroRlVU	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
177	hE16sZYAUqU	Immigrants are victims of false hope	Immigrants are victims
178	3K50E3qRj-w	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
179	K6dxkLu7owU	Great replacement	Immigration is part of a conspiracy
180	Rc_lHON6az0	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
181	HqhtHLORgsA	None	None
182	axVDgxx_GFo	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
183	omcCysSkQqI	Immigrants suffer from labour exploitation	Immigrants are victims
184	jHJIXyHcoko	None	None
185	1HIM6AN-IA8	We will reinstate order	We are competent
186	8l20qIfsQu4	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
187	a3N6rNhw6tU	Our borders are strained and/or insufficiently controlled	Immigration is out of control
188	scJSlss-qz4	Immigrants suffer from labour exploitation	Immigrants are victims
189	3SJjAzI4STo	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
190	rb6WEFGS95Y	None	None
191	7dsfkOET5_A	There are too many immigrants coming	Immigration is out of control
192	YvOllz6KZms	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
193	Eeh2oQ0A1ck	Immigrants suffer from labour exploitation	Immigrants are victims
194	H8424MIhZho	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
195	ZNu2jiQrHuk	None	None
196	Et6goRZMcJ0	Immigrants are victims of human traffickers.	Immigrants are victims
197	QiZhbaM5Lyk	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
198	4gcUD4KhbPg	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
199	k6dOiGKxnqo	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
200	IfPIjaarP8o	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
201	tjGoh155_ew	There are too many immigrants coming	Immigration is out of control
202	_mnf6L7C-Ek	Blaming global elites	Immigration is part of a conspiracy
203	-gZy2o2KOSQ	Great replacement	Immigration is part of a conspiracy
204	cGh7YYulozM	We are being silenced	There is an unfair bias against our political camp
205	9ZWFzyVRjzU	Immigrants suffer from labour exploitation	Immigrants are victims
206	s28D5FGVd3w	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
207	BvO6cGYRCrs	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
208	qrhZ444bnLY	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
209	qZdFS5px5vY	Our borders are strained and/or insufficiently controlled	Immigration is out of control
210	CbbkMLZPdLQ	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
211	53XezmW-rs8	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
212	SikqFuDTa54	Promoting policy initiatives or ideas	We are competent
213	4XSYAG786H0	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
214	EZLTTodCYPo	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
215	8Lt54AAfSE0	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
216	Y5hzhM2aTdQ	Many immigrants are terrorists	Immigration is a threat
217	KOjkWWiKYEE	Natives first	Immigration burdens the economy & welfare narrative
218	7D5_a16IMdw	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
219	4GZbiUjKxfE	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
220	ZVmgYS2T0AU	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
221	xYszwgWovDo	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
222	_3nEDVavuqk	EU is harmful for our nation	It is Us vs. Them (the establishment)
223	WApFbwutqT8	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
224	9BoogogH9Gw	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
225	tdxAxeDBoX4	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
226	FsGXjcg1Wgg	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
227	VpCcYMtA-Wo	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
228	GSRTaQcaH24	Great replacement	Immigration is part of a conspiracy
229	Ck1AJ2yCFsE	There are too many immigrants coming	Immigration is out of control
230	3mkfDgUgTJM	Our borders are strained and/or insufficiently controlled	Immigration is out of control
231	fkFW3CequFg	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
232	Kg0gL57uTXo	There are too many immigrants coming	Immigration is out of control
233	3AmqyicPfck	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
234	6RRwUCGS6kc	There are too many immigrants coming	Immigration is out of control
235	GmlmaO5m8w0	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
236	J33gyzmAGcc	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
237	RcOs57ScrWI	Promoting policy initiatives or ideas	We are competent
238	IZhGmz8Mf04	Immigrants are victims of human traffickers.	Immigrants are victims
239	umnNCQHAKNU	Immigrants suffer from labour exploitation	Immigrants are victims
240	y8doHQgHSik	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
241	wEBtZOJ4WHU	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
242	SKtlVeuHHWo	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
243	fr7l9D32SMA	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
244	Aq__wmJKPyw	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
245	sOt9gUPKhA0	Anti-Elitism	It is Us vs. Them (the establishment)
246	51OOuNTEC0c	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
247	sl28jH5zqRQ	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
248	Xzy_u8mZ-is	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
249	QSz-IzuwwWY	Immigrants suffer from labour exploitation	Immigrants are victims
250	K9FBPQlLwJE	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
251	M8ws1Nd4WqQ	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
252	M-EmhFSAPP0	Immigration is abused as a political tool	Geopolitical narratives: Countries are acting against the interest of other countries
253	NOpEMNlozlM	Promoting policy initiatives or ideas	We are competent
254	TjN6C6ka_24	None	None
255	uXJxl0ELyRI	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
256	O53T_FQ9wTE	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
257	_T62A5MqkXQ	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
258	vcEoN5Psw_Q	Promoting policy initiatives or ideas	We are competent
259	gRX15BI_yfM	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
260	klbk03d8PDw	Our borders are strained and/or insufficiently controlled	Immigration is out of control
261	f4XjfGLSrlA	Promoting policy initiatives or ideas	We are competent
262	rVPQuLVKNLg	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
263	WrOjIAAF9jU	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
264	cyJ-O50-80E	Immigrants are victims of human traffickers.	Immigrants are victims
265	FXVZ-rljieE	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
266	K1JGnjhfhqw	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
267	7Sm1w5Ij75w	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
268	HeOpCx41OIA	Great replacement	Immigration is part of a conspiracy
269	OLGctpBpv3Q	We represent the people	We are competent
270	M2DrBJvnfns	Promoting policy initiatives or ideas	We are competent
271	2i7Ec8GKqUY	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
272	jxzZcmp9qso	There are too many immigrants coming	Immigration is out of control
273	VnO4RnbLn7I	Our borders are strained and/or insufficiently controlled	Immigration is out of control
274	L27y3nsPu_s	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
275	zWwhmZEmnrc	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
276	fkjbGmOlylc	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
277	m-_KH9PIasM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
278	II3NgREcvUk	Promoting policy initiatives or ideas	We are competent
279	Q4Xi57Xdys4	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
280	yeqoct-ETjw	Promoting policy initiatives or ideas	We are competent
281	KJNxtYCWPtw	Promoting policy initiatives or ideas	We are competent
282	s1xmMe6BZgo	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
283	g6RmlkjVBaI	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
284	vdM7U63iWTY	We represent the people	We are competent
285	KJK9-tcuJng	Many immigrants are terrorists	Immigration is a threat
286	-owoDsjYIxw	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
287	sV6JSG855aQ	None	None
288	-8W-UfB1CIw	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
289	87-uZC5McmE	Immigrants suffer from labour exploitation	Immigrants are victims
290	5sUYneTFoa0	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
291	we1JbglnHZA	Immigrants are victims of human traffickers.	Immigrants are victims
292	mWhieqoFQWs	None	None
293	jO8tnoihNoM	Great replacement	Immigration is part of a conspiracy
294	pa6xqJPVOUI	Many immigrants are terrorists	Immigration is a threat
295	mFvA9vM4rdM	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
296	0aEsxUz_SNM	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
297	tjwiZkg2RKg	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
298	eJCesp08fv8	There are too many immigrants coming	Immigration is out of control
299	J5nEDgmQcf4	Immigrants are victims of human traffickers.	Immigrants are victims
300	F_rgzAQzs34	None	None
301	EFF6kMKGj5E	None	None
302	bPQ3ZLk75-w	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
303	pLkOmlUTfEA	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
304	fZPzppzRO3w	Immigration is a threat to individual safety	Immigration is a threat
305	zWP4khJSuv8	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
306	I4wdYX5mmRw	None	None
307	szis5ZioMsw	There are too many immigrants coming	Immigration is out of control
308	yacFtUJFYMw	Immigrants are victims of human traffickers.	Immigrants are victims
309	MIDB9sOduiU	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
310	w-8RtG8sSMM	Promoting policy initiatives or ideas	We are competent
311	Ft1-CXoa5E8	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
312	v64qQ2LZCkY	None	None
313	rkpv46b7gyM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
314	bh03fEySVig	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
315	UIL1To1nwrc	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
316	x3Im7S3xgCg	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
317	AaYhJT2rXYg	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
318	xzgkb0eL9T0	Immigrants are victims of human traffickers.	Immigrants are victims
